Substrate,Enzyme,Time,alphaNH
30,3,3255,25.420554158357547
30,3,3265,25.424771027815837
30,3,3270,25.432783415616253
30,3,3275,25.44416862732398
30,3,3280,25.45724091970267
30,3,3285,25.458084293594325
30,3,3290,25.45850597759815
30,3,3295,25.46272285294046
30,3,3300,25.463144536944277
30,3,3305,25.466940061625394
30,3,3310,25.481698762560757
30,3,3315,25.492662623152313
30,3,3320,25.501939735960555
30,3,3325,25.502361419964377
30,3,3330,25.50278310985221
30,3,3335,25.5171204660104
30,3,3340,25.524711171031502
30,3,3345,25.537361439410194
30,3,3360,25.542843366763968
30,3,3365,25.544530114547282
30,3,3370,25.547903610113917
30,3,3380,25.55127710568055
30,3,3385,25.552963853463865
30,3,3390,25.55422891724336
30,3,3395,25.559289160593313
30,3,3400,25.567722899509896
30,3,3405,25.568987957405373
30,3,3415,25.573626516751503
30,3,3420,25.581638565780246
30,3,3425,25.586277125126372
30,3,3430,25.598084359609587
30,3,3435,25.601036165288384
30,3,3440,25.603987976851194
30,3,3445,25.610313283980638
30,3,3450,25.61832533300938
30,3,3455,25.62633738203813
30,3,3465,25.628867503713103
30,3,3470,25.631397625388075
30,3,3475,25.638987990413
30,3,3480,25.643204859871293
30,3,3485,25.65459041035069
30,3,3490,25.663867523158927
30,3,3495,25.678626569204955
30,3,3500,25.690012113800332
30,3,3505,25.706879591633495
30,3,3510,25.71489164654626
30,3,3515,25.733445872162733
30,3,3520,25.734710930058213
30,3,3525,25.742722984970978
30,3,3530,25.747361538433093
30,3,3535,25.76254226848294
30,3,3540,25.7794097463161
30,3,3545,25.78573505344555
30,3,3550,25.787000111341026
30,3,3555,25.789530233016
30,3,3565,25.792060354690978
30,3,3570,25.796277224149264
30,3,3575,25.802180841390875
30,3,3590,25.8097712064158
30,3,3595,25.813566391870268
30,3,3600,25.826217000245137
30,3,3605,25.842662788190463
30,3,3610,25.848566405432074
30,3,3615,25.85447002267368
30,3,3620,25.865433883265236
30,3,3625,25.874710996073475
30,3,3630,25.87892786553177
30,3,3635,25.899168838931566
30,3,3640,25.899590528819406
30,3,3650,25.908867641627644
30,3,3655,25.914771258869248
30,3,3660,25.925735119460807
30,3,3665,25.936698980052363
30,3,3670,25.9388074118395
30,3,3675,25.94471102908111
30,3,3680,25.946819466752263
30,3,3685,25.959891759130958
30,3,3690,25.972964051509653
30,3,3695,25.978867668751256
30,3,3705,25.98308453820955
30,3,3710,25.9940483988011
30,3,3715,26.007120697063815
30,3,3720,26.018506241659193
30,3,3725,26.022723111117482
30,3,3730,26.02314480100532
30,3,3735,26.030735166030247
30,3,3740,26.03284359781738
30,3,3745,26.04212071062562
30,3,3750,26.046337585967926
30,3,3755,26.05055445542622
30,3,3760,26.05434963499667
30,3,3765,26.05983156823446
30,3,3770,26.061940000021593
30,3,3775,26.071217112829835
30,3,3780,26.082180973421394
30,3,3785,26.085976158875862
30,3,3790,26.095253271684108
30,3,3795,26.107903880058974
30,3,3800,26.11718099286722
30,3,3805,26.134891844592037
